文件题目,发布机构,发布时间,索 引 号,关 键 字,主题分类,内容.txt
全市“千人亲商助企”活动表彰暨工作推进会召开,工信委,2017-07-13 06:17, 013353737/2017-02495592,会议,文秘工作,2495592.txt
西安市民情大数据地图信息系统录入培训工作全面完成,工信委,2017-07-06 20:27, 013353737/2017-02490640,培训,教育,2490640.txt
市工信委主任孙琦峰深入调研高新区百亿企业,工信委,2017-06-29 17:00, 013353737/2017-02483601,调研,机关事务,2483601.txt
省工信厅蒋跃厅长到我市调研促投资稳增长工作,工信委,2017-06-28 18:02, 013353737/2017-02482849,调研,机关事务,2482849.txt
市工信委开展以“学、比、看、讲”为主题的专题扶贫活动,工信委,2017-06-27 21:19, 013353737/2017-02462852,扶贫,社会公益,2462852.txt
市中小企业服务中心举办”共享经济时代—企业老板必修的股权课”培训,工信委,2017-06-27 21:17, 013353737/2017-02462849,培训,教育,2462849.txt
市工信委召开机关促投资稳增长工作点评会暨主任办公（扩大）会议,工信委,2017-06-27 17:53, 013353737/2017-02462799,会议,文秘工作,2462799.txt
市信息中心党支部开展庆“七一”主题党日活动,工信委,2017-06-26 21:20, 013353737/2017-02461557,工作动态,文秘工作,2461557.txt
市委全面深化改革领导小组第四督察组到市工信委开展民间投资督察工作,工信委,2017-06-23 17:02, 013353737/2017-02459636,督查,政务督察,2459636.txt
我市举行大数据建设发展论坛,工信委,2017-06-23 16:23, 013353737/2017-02459533,会议,文秘工作,2459533.txt
长安区迅速落实全市工业促投资稳增长工作会议精神,工信委,2017-06-23 15:24, 013353737/2017-02459285,工作动态,文秘工作,2459285.txt
我市召开工业促投资稳增长工作会议,工信委,2017-06-20 17:29, 013353737/2017-02455541,会议,文秘工作,2455541.txt
市中小企业服务中心党支部组织看望帮扶贫困户,工信委,2017-06-19 16:28, 013353737/2017-02453625,扶贫,社会公益,2453625.txt
市节能监察监测中心党员干部节能宣传周进社区开展节能宣传活动,工信委,2017-06-16 12:25, 013353737/2017-02451563,节能,节能与资源综合利用,2451563.txt
市工信委开展“车让人”主题实践活动,工信委,2017-06-15 12:23, 013353737/2017-02451560,工作动态,文秘工作,2451560.txt
诚实守信　开启美好新生活,工信委,2017-06-14 12:22, 013353737/2017-02451557,信用体系,信用,2451557.txt
市工信委市节能监察监测中心开展节能宣传周走进帮扶村宣传慰问活动,工信委,2017-06-14 12:12, 013353737/2017-02451548,慰问,社会公益,2451548.txt
市中小企业服务中心党支部开展“回顾历史，缅怀革命前辈”专题党日活动,工信委,2017-06-13 11:04, 013353737/2017-02451317,参观,机关事务,2451317.txt
市中小企业服务中心举办“性格色彩在企业管理中的应用”培训,工信委,2017-06-13 11:02, 013353737/2017-02451309,培训,教育,2451309.txt
市工信委驻村工作队精心准备迎接全省脱贫攻坚整改工作交叉检查,工信委,2017-06-13 10:50, 013353737/2017-02451272,"扶贫,扶贫帮困",扶贫,2451272.txt
西安市民情大数据地图信息系统项目建设方案通过专家评审,工信委,2017-06-07 21:43, 013353737/2017-02442291,工作动态,文秘工作,2442291.txt
市工信委副主任、工业招商分局局长陈大为会见苏州市清华企业商会,工信委,2017-06-03 21:45, 013353737/2017-02438410,工作动态,文秘工作,2438410.txt
市工信委召开座谈会接洽西安中车长客及中车西安车辆公司相关负责人,工信委,2017-06-03 21:33, 013353737/2017-02438407,工作动态,文秘工作,2438407.txt
市工信委召开2017年推进区县开发区工业促投资稳增长服务活动部署会,工信委,2017-06-02 21:17, 013353737/2017-02438396,工作动态,文秘工作,2438396.txt
市工信委召开西安创建中国软件名城启动动员暨相关工作解读培训会,工信委,2017-06-02 18:04, 013353737/2017-02437950,工作动态,文秘工作,2437950.txt
市社区信息服务管理中心开展扶贫送温暖活动,工信委,2017-06-02 18:02, 013353737/2017-02437942,扶贫,社会公益,2437942.txt
市工信委系统开展助力脱贫爱心捐款活动,工信委,2017-06-02 10:56, 013353737/2017-02437239,募捐,社会公益,2437239.txt
市社区中心开展“不忘初心，永跟党走”主题党日活动,工信委,2017-05-26 21:39, 013353737/2017-02432284,工作动态,文秘工作,2432284.txt
党员进社区  共建促和谐,工信委,2017-05-25 19:53, 013353737/2017-02430562,工作动态,文秘工作,2430562.txt
省清理取缔“散乱污”企业专项整治办公室第一督导组检查我市专项整治工作推进情况,工信委,2017-05-25 13:12, 013353737/2017-02430043,环保,监督检查,2430043.txt
《保密宣教动画片》第四集：泄露国家秘密违法，举报泄密行为获奖,工信委,2017-05-25 11:00, 013353737/2017-02429844,公益广告,其他,2429844.txt
《保密宣教动画片》第三集：军迷发帖上头条，稍不留神易泄密,工信委,2017-05-25 10:58, 013353737/2017-02429841,公益广告,其他,2429841.txt
《保密宣教动画片》第二集：淘汰设备须注意，稍不留神易泄密,工信委,2017-05-25 10:56, 013353737/2017-02429838,公益公告,其他,2429838.txt
《保密宣教动画片》第一集：社会交往要警惕，日常交流不涉密,工信委,2017-05-24 20:47, 013353737/2017-02429422,公益公告,其他,2429422.txt
工信部调研西安有色金属产业,工信委,2017-05-19 21:09, 013353737/2017-02419250,调研,机关事务,2419250.txt
市中小企业服务中心举办“聚焦资本进实体助力秦商大发展”资本市场培训及对接主题活动,工信委,2017-05-19 17:06, 013353737/2017-02418822,培训,教育,2418822.txt
市中小企业服务中心举办的第三期“项目经理人”培训,工信委,2017-05-17 22:25, 013353737/2017-02416509,培训,教育,2416509.txt
市工信委传达学习省第十三次党代会精神,工信委,2017-05-16 13:42, 013353737/2017-02413735,工作动态,文秘工作,2413735.txt
市工信委赴户县蒋村镇青一村开展精准扶贫活动,工信委,2017-05-15 20:58, 013353737/2017-02413135,"扶贫,扶贫帮困",扶贫,2413135.txt
十四名院士专家为我市“中国制造2025”把脉,工信委,2017-05-12 13:30, 013353737/2017-02410724,工作动态,文秘工作,2410724.txt
市纪委驻市工信委纪检组深入帮扶村督导精准扶贫工作,工信委,2017-05-11 23:50, 013353737/2017-02410155,扶贫,扶贫,2410155.txt
第一期“项目经理人”培训班结业,工信委,2017-05-10 10:17, 013353737/2017-02407659,培训,教育,2407659.txt
工信部专家组对我市创建“中国制造2025”城市试点示范申报工作进行考察评估,工信委,2017-05-09 22:22, 013353737/2017-02407379,工作动态,文秘工作,2407379.txt
市工信委系统传达学习王永康书记在全市“追赶超越”一季度汇报点评会上重要讲话精神,工信委,2017-05-09 17:59, 013353737/2017-02407314,工作动态,文秘工作,2407314.txt
市工信委举办“工信大讲堂”打造干部学习教育新载体,工信委,2017-05-09 17:46, 013353737/2017-02407249,工作动态,文秘工作,2407249.txt
市节能监察监测中心组织召开陕西省2017年国家重大工业节能专项监察工作培训暨启动仪式,工信委,2017-05-02 14:21, 013353737/2017-02401037,节能,节能与资源综合利用,2401037.txt
市节能监察监测中心组织开展党日活动,工信委,2017-04-27 16:17, 013353737/2017-02398125,参观,机关事务,2398125.txt
市工信委领导深入青一村调研指导脱贫攻坚工作,工信委,2017-04-26 22:32, 013353737/2017-02397318,"扶贫,扶贫帮困",扶贫,2397318.txt
省委第一环保督查组深入长安区现场检查,工信委,2017-04-22 20:03, 013353737/2017-02385493,环保,监督检查,2385493.txt
长安区中小企业促进局举办中小企业挂牌上市业务培训会,工信委,2017-04-22 20:00, 013353737/2017-02385490,培训,教育,2385490.txt
市政府召开全市工业促投资稳增长工作推进会,工信委,2017-04-20 17:33, 013353737/2017-02377334,投资,重大项目建设,2377334.txt
市工信委召开部分园区和企业配套协作座谈会,工信委,2017-04-19 13:03, 013353737/2017-02375509,工作动态,文秘工作,2375509.txt
市工信委党组召开扩大会议专题研究省委环保督察巡查组提交问题事项,工信委,2017-04-16 12:19, 013353737/2017-02371288,环保,监督检查,2371288.txt
长安区中小企业促进局组织企业走进云计算基地,工信委,2017-04-16 12:17, 013353737/2017-02371285,参观,机关事务,2371285.txt
市工信委党组书记孙琦峰调研高端装备企业,工信委,2017-04-14 17:48, 013353737/2017-02370906,调研,机关事务,2370906.txt
市节能监察监测中心举办重点用能企业碳排放权交易培训班,工信委,2017-04-14 16:27, 013353737/2017-02370537,培训,教育,2370537.txt
市工信委有关同志赴蓝田县调研“民情大数据地图”工作,工信委,2017-04-12 17:39, 013353737/2017-02367772,调研,机关事务,2367772.txt
市工信委“小散乱污”企业整治工作取得阶段性进展,工信委,2017-04-12 17:30, 013353737/2017-02367756,环保,环境监测、保护与治理,2367756.txt
市工信委组织检查长安区“小散乱污”企业整治整改落实情况,工信委,2017-04-12 17:29, 013353737/2017-02367752,环保,环境监测、保护与治理,2367752.txt
市工信委参加党风政风热线栏目访谈,工信委,2017-04-12 17:19, 013353737/2017-02367747,环保,环境监测、保护与治理,2367747.txt
市工信委与邮储银行西安分行牵手未来5年引支持中小企业发展资金活水100亿元,工信委,2017-04-07 13:56, 013353737/2017-02363798,银行,银行,2363798.txt
市工信委与中信银行西安分行召开金融服务座谈会,工信委,2017-04-07 13:55, 013353737/2017-02363795,金融,银行,2363795.txt
市中小企业服务中心举办第二期“企业所得税汇算清缴新政解析及实操技巧”培训,工信委,2017-04-07 13:05, 013353737/2017-02363769,培训,教育,2363769.txt
阎良区召开一季度工业经济运行分析会,工信委,2017-04-07 12:04, 013353737/2017-02363766,会议,文秘工作,2363766.txt
市工信委在市级机关拔河比赛中取得优异成绩,工信委,2017-03-31 13:24, 013353737/2017-02357520,比赛,体育,2357520.txt
市节能监察监测中心举办工业节能监察工作暨企业能源管理人员培训会,工信委,2017-03-31 13:23, 013353737/2017-02357517,培训,教育,2357517.txt
市工信委举办市第十三次党代会精神宣讲报告会,工信委,2017-03-30 14:40, 013353737/2017-02355921,会议,文秘工作,2355921.txt
市工信委与邮储银行西安分行举行中小企业金融服务座谈会,工信委,2017-03-29 12:57, 013353737/2017-02354350,金融,银行,2354350.txt
市工信委召开2017年度目标责任暨落实全面从严治党责任签订大会,工信委,2017-03-25 13:46, 013353737/2017-02350411,会议,文秘工作,2350411.txt
市工信委举办廉政大讲堂活动,工信委,2017-03-23 15:34, 013353737/2017-02348593,廉政建设,监察,2348593.txt
市工业交通干部学校开展大数据分析方法与应用培训讲座,工信委,2017-03-20 17:58, 013353737/2017-02344981,培训,教育,2344981.txt
市工信委机关干部赴周至开展植树增绿活动,工信委,2017-03-16 17:03, 013353737/2017-02341701,工作动态,文秘工作,2341701.txt
大力推进纪检委员工作室工作 延伸纪检工作触角,工信委,2017-03-09 15:12, 013353737/2017-02334077,纪检,监察,2334077.txt
市工业交通干部学校举办微型党课教育活动,工信委,2017-03-09 10:34, 013353737/2017-02333650,工作动态,文秘工作,2333650.txt
市中小企业服务中心为中小微企业培训“项目经理人”,工信委,2017-03-09 10:31, 013353737/2017-02333638,工作动态,文秘工作,2333638.txt
市中小企业服务中心举办企业财税问题交流会,工信委,2017-03-05 19:58, 013353737/2017-02329882,工作动态,文秘工作,2329882.txt
市社区信息服务管理中心开展志愿帮扶活动,工信委,2017-03-03 16:01, 013353737/2017-02328944,扶贫帮困,社会公益,2328944.txt
市工信委开展反腐倡廉教育活动,工信委,2017-03-01 18:47, 013353737/2017-02326891,廉政,纠正行业不正之风,2326891.txt
深入企业征求意见 强化效能监督追赶超越,工信委,2017-03-01 18:44, 013353737/2017-02326888,工作动态,文秘工作,2326888.txt
市节能监察监测中心召开廉洁自律警示教育专题组织生活会,工信委,2017-02-24 15:20, 013353737/2017-02322759,工作动态,文秘工作,2322759.txt
崇廉倡廉   警钟长鸣,工信委,2017-02-22 15:46, 013353737/2017-02319860,廉政建设,监察,2319860.txt
贯彻市党代会精神 扎实推进追赶超越,工信委,2017-01-26 11:34, 013353737/2017-02299404,工作动态,文秘工作,2299404.txt
市工信委开展走访慰问帮扶村贫困户和高龄老人活动,工信委,2017-01-24 18:05, 013353737/2017-02297662,慰问,优抚安置,2297662.txt
2016年西安市规模以上工业增长9.9%,工信委,2017-01-24 17:47, 013353737/2017-02297614,统计,统计,2297614.txt
2016年西安市规上工业能耗增长3.1%,工信委,2017-01-24 17:46, 013353737/2017-02297592,统计,统计,2297592.txt
西安市组织参加全国信用工作视频会议,工信委,2017-01-19 13:19, 013353737/2017-02292128,信用体系,信用,2292128.txt
市工信委机关党员赴红旗社区开展送温暖送祝福活动,工信委,2017-01-17 20:14, 013353737/2017-02290421,慰问,社会公益,2290421.txt
市工信委定点值守 确保停产限产落实,工信委,2017-01-05 16:03, 013353737/2017-02280173,污染,环境监测、保护与治理,2280173.txt
市信息中心召开 “两学一做”第四次专题研讨,工信委,2016-12-29 14:22, 013353737/2016-02273663,工作动态,文秘工作,2273663.txt
西安企业限产减排达到50%规定,工信委,2016-12-20 15:59, 013353737/2016-02264073,节能减排,节能与资源综合利用,2264073.txt
市节能监察监测中心参加全国节能中心系统工作会并做典型发言,工信委,2016-12-20 15:58, 013353737/2016-02264067,节能减排,节能与资源综合利用,2264067.txt
西安11家企业限产停产 8家水泥粉磨企业停工,工信委,2016-12-20 15:57, 013353737/2016-02264063,节能减排,节能与资源综合利用,2264063.txt
市政府举行智慧城市专题培训报告会,工信委,2016-12-06 14:53, 013353737/2016-02243966,会议,文秘工作,2243966.txt
市政府常务会议审议通过我市贯彻落实省政府工业稳增长促投资21条措施的实施意见,工信委,2016-12-02 13:19, 013353737/2016-02240421,会议,文秘工作,2240421.txt
全国工业节能监察业务（西安）培训班顺利举办,工信委,2016-12-02 13:14, 013353737/2016-02240416,培训,教育,2240416.txt
市委宣讲团到市工信委宣讲党的十八届六中全会精神,工信委,2016-11-30 13:34, 013353737/2016-02237536,工作动态,文秘工作,2237536.txt
市社区中心开展“两学一做”学习教育专题党课,工信委,2016-11-30 13:32, 013353737/2016-02237533,工作动态,文秘工作,2237533.txt
延伸纪检工作触角 实现执纪监督全覆盖,工信委,2016-11-21 17:31, 013353737/2016-02225215,纪检,监察,2225215.txt
市工信委驻村第一书记给村党员上党课,工信委,2016-11-21 10:56, 013353737/2016-02224415,工作动态,文秘工作,2224415.txt
市工信委深入推进驻村联户扶贫工作,工信委,2016-11-18 22:04, 013353737/2016-02223920,扶贫帮困,扶贫,2223920.txt
市中小企业服务中心举办“中小微企业财税公益大讲堂”,工信委,2016-11-18 21:02, 013353737/2016-02223917,工作动态,文秘工作,2223917.txt
市社区中心深入学习贯彻党的十八届六中全会精神,工信委,2016-11-17 15:07, 013353737/2016-02219839,工作动态,文秘工作,2219839.txt
阎良区召开2016年社会信用体系建设工作推进会,工信委,2016-11-10 14:39, 013353737/2016-02211889,信用体系,信用,2211889.txt
新经济引领工业发展  供给侧改革成效显现,工信委,2016-11-07 10:40, 013353737/2016-02207135,工作动态,文秘工作,2207135.txt
市工信委举办青年干部廉政教育讲座,工信委,2016-11-03 13:06, 013353737/2016-02203856,廉政建设,监察,2203856.txt
市节能监察监测中心组织专题片《永远在路上》观后讨论会,工信委,2016-10-27 17:05, 013353737/2016-02197784,工作动态,文秘工作,2197784.txt
全市工业生产稳步提升 利用外资快速增长,工信委,2016-10-27 09:40, 013353737/2016-02196352,工作动态,文秘工作,2196352.txt
市节能监察监测中心顺利完成2016年国家重大工业节能专项监察工作,工信委,2016-10-25 17:08, 013353737/2016-02192747,工作动态,文秘工作,2192747.txt
市中小企业服务中心举办中小微企业劳动用工政策法规讲座,工信委,2016-10-24 13:06, 013353737/2016-02190317,工作动态,文秘工作,2190317.txt
市工信委党组召开“两学一做”第三专题及“三项机制”学习研讨会,工信委,2016-10-21 22:08, 013353737/2016-02189883,动态,其他,2189883.txt
市工信委扎实推进派驻软弱涣散党组织整顿工作,工信委,2016-10-21 22:06, 013353737/2016-02189880,工作动态,文秘工作,2189880.txt
市工信委系统开展党务、纪检干部培训活动,工信委,2016-10-20 14:59, 013353737/2016-02187934,纪检,监察,2187934.txt
市信息中心党支部召开“两学一做”学习教育第三次专题研讨会,工信委,2016-09-28 19:22, 013353737/2016-02171614,工作动态,文秘工作,2171614.txt
市工信委圆满完成机关党委、工会换届工作,工信委,2016-09-19 15:13, 013353737/2016-02162670,工作动态,文秘工作,2162670.txt
市中小企业服务中心党支部开展“两学一做”学习教育第三专题研讨会,工信委,2016-09-19 15:12, 013353737/2016-02162667,工作动态,文秘工作,2162667.txt
第三期“营改增”新政深度解析与应对操作实务讲座顺利举办,工信委,2016-09-19 15:12, 013353737/2016-02162664,工作动态,文秘工作,2162664.txt
跨区域工业节能监察   培养过硬工作作风,工信委,2016-08-23 08:07, 013353737/2016-02141420,节能,节能与资源综合利用,2141420.txt
省委党校教授来市工信委宣讲《中国共产党问责条例》,工信委,2016-08-18 19:38, 013353737/2016-02140071,工作动态,文秘工作,2140071.txt
市节能监察监测中心对三星（中国）半导体有限公司项目开展节能评审工作,工信委,2016-08-18 17:25, 013353737/2016-02139747,节能,节能与资源综合利用,2139747.txt
上半年西安非公经济增加值GDP占比为52.2%,工信委,2016-08-18 16:49, 013353737/2016-02139685,工作动态,文秘工作,2139685.txt
西安市2016年国家重大工业节能专项监察工作培训启动,工信委,2016-08-08 11:03, 013353737/2016-02127301,培训,教育,2127301.txt
西安市社区12343服务热线今起受理社会救助服务问题解答,工信委,2016-08-05 14:13, 013353737/2016-02126297,工作动态,文秘工作,2126297.txt
创新温控监察模式   协助企业节能增效,工信委,2016-07-22 17:41, 013353737/2016-02112933,节能,节能与资源综合利用,2112933.txt
市中小企业服务中心举办新三板挂牌交流会,中小企业服务中心,2016-07-13 18:20, 013353737/2016-02107024,工作动态,文秘工作,2107024.txt
赵平副主任到市节能监察监测中心指导党建工作推进“两学一做”深入开展,工信委,2016-07-11 17:33, 013353737/2016-02105152,工作动态,文秘工作,2105152.txt
市社区信息服务管理中心党支部召开接收预备党员大会,工信委,2016-07-11 16:00, 013353737/2016-02104951,工作动态,文秘工作,2104951.txt
市工信委组织开展“两学一做”知识学习答题活动,工信委,2016-07-08 18:04, 013353737/2016-02104351,工作动态,文秘工作,2104351.txt
市工信委党组召开“两学一做”学习教育专题研讨会议,工信委,2016-07-08 16:10, 013353737/2016-02103920,工作动态,文秘工作,2103920.txt
市黄金办党支部开展党日活动,工信委,2016-07-08 15:45, 013353737/2016-02103893,工作动态,文秘工作,2103893.txt
政协领导做表率  献智助企促发展,工信委,2016-07-08 15:44, 013353737/2016-02103890,工作动态,文秘工作,2103890.txt
市工信委苗立波同志荣获西安市“优秀共产党员”光荣称号,工信委,2016-07-04 12:53, 013353737/2016-02100119,工作动态,文秘工作,2100119.txt
市社区中心组织党员群众集体观看庆祝中国共产党建党95周年大会实况转播,工信委,2016-07-04 12:52, 013353737/2016-02100116,工作动态,文秘工作,2100116.txt
市工信委机关组织集体收看庆祝中国共产党成立95周年大会实况,工信委,2016-07-01 17:56, 013353737/2016-02099236,工作动态,文秘工作,2099236.txt
市中小企业服务中心党支部开展“两学一做”学习教育第二专题研讨会,工信委,2016-07-01 16:21, 013353737/2016-02099053,工作动态,文秘工作,2099053.txt
市节能监察监测中心开展 “坚持根本宗旨，发挥党员作用”专题学习讨论,工信委,2016-07-01 14:57, 013353737/2016-02098870,工作动态,文秘工作,2098870.txt
市工信委召开纪念中国共产党建党95周年暨表彰大会,工信委,2016-06-30 17:41, 013353737/2016-02098331,纪念活动,机关事务,2098331.txt
市工信委副主任、帮扶督导组组长李初管同志督导户县甘河镇尹村两委会整顿,工信委,2016-06-30 10:54, 013353737/2016-02097671,工作动态,文秘工作,2097671.txt
市黄金办支部开展“两学一做”第二专题学习研讨及讲“党的纪律”党课活动,工信委,2016-06-29 17:24, 013353737/2016-02097204,工作动态,文秘工作,2097204.txt
市中小企业服务中心开展党日活动,工信委,2016-06-29 17:19, 013353737/2016-02097199,纪念活动,机关事务,2097199.txt
西安渭北工业区发展服务中心党支部开展“讲规矩、有纪律”第二次专题研讨会,工信委,2016-06-27 18:04, 013353737/2016-02094995,工作动态,文秘工作,2094995.txt
曲江新区全面开展亲商助企活动,工信委,2016-06-23 21:48, 013353737/2016-02093051,工作动态,文秘工作,2093051.txt
灞桥 把服务延伸到亲商助企的每一个环节,工信委,2016-06-23 21:47, 013353737/2016-02093048,工作动态,文秘工作,2093048.txt
户县四项重点措施加快推进“亲商助企”工作,工信委,2016-06-23 21:44, 013353737/2016-02093045,工作动态,文秘工作,2093045.txt
国家工信部重点工业行业能效标准及政策培训班在西安开班,工信委,2016-06-17 18:02, 013353737/2016-02086890,培训,教育,2086890.txt
市节能监察监测中心组织党员到社区开展节能宣传活动,工信委,2016-06-16 15:47, 013353737/2016-02085147,节能,节能与资源综合利用,2085147.txt
亲商助企优环境 经济发展增动力 新城发力冲刺双过半,工信委,2016-06-15 17:17, 013353737/2016-02084177,工作动态,文秘工作,2084177.txt
西安地产品配套信息汇总,工信委,2016-06-15 15:42, 013353737/2016-02085130,地产品配套,其他,2085130.txt
市社区中心开展“庆七一、学党章、明规定、提高工作方法”党课暨第二次专题研讨会,工信委,2016-06-15 12:39, 013353737/2016-02083775,工作动态,文秘工作,2083775.txt
刘春雁副书记到亲商助企联系单位现场解决问题,工信委,2016-06-13 10:32, 013353737/2016-02081717,调研,机关事务,2081717.txt
阎良 亲商助企优环境 以“做”践“学”促发展,工信委,2016-06-12 17:11, 013353737/2016-02084165,工作动态,文秘工作,2084165.txt
周至 亲商助企抓项目促落实 155名助企干部深入企业和项目单位开展服务,工信委,2016-06-12 16:51, 013353737/2016-02084098,工作动态,文秘工作,2084098.txt
市黄金（有色）办深入我市有色金属企业调研,工信委,2016-06-12 16:25, 013353737/2016-02081280,调研,机关事务,2081280.txt
市工信委机关部分党员与红旗社区群众共渡端午节,工信委,2016-06-12 10:24, 013353737/2016-02080816,工作动态,文秘工作,2080816.txt
上官吉庆市长到亲商助企联系单位现场解决问题,工信委,2016-06-08 22:41, 013353737/2016-02080544,调研,机关事务,2080544.txt
装备工业和军民结合党支部组织“两学一做“学习教育第一专题研讨,工信委,2016-06-08 13:52, 013353737/2016-02079943,教育,教育,2079943.txt
市社区中心召开学习《中国共产党地方委员会工作条例》专题会议,工信委,2016-06-07 17:40, 013353737/2016-02079004,会议,文秘工作,2079004.txt
“中国工业企业能效促进项目”西安示范基地能效诊断、能源管理体系建设通过验收,工信委,2016-06-07 17:37, 013353737/2016-02078999,节能,节能与资源综合利用,2078999.txt
市委市政府召开千人亲商助企活动动员大会,工信委,2016-06-04 17:33, 013353737/2016-02078992,会议,文秘工作,2078992.txt
市工信委法规和原材料处支部召开“两学一做”学习教育交流研讨会,工信委,2016-06-02 18:00, 013353737/2016-02075082,会议,文秘工作,2075082.txt
市工信委园区和渭北发展处支部召开“两学一做”主题学习研讨会,工信委,2016-06-02 17:05, 013353737/2016-02075040,会议,文秘工作,2075040.txt
市直机关文明办来我委检查考核文明处室创建工作,工信委,2016-06-01 16:58, 013353737/2016-02075010,文明,新闻快讯,2075010.txt
市工信委纪检组举行“两学一做”专题学习讨论,工信委,2016-06-01 12:32, 013353737/2016-02071205,纪检,监察,2071205.txt
市节能监察监测中心开展 “增强学习教育自觉性”专题学习讨论,工信委,2016-06-01 11:40, 013353737/2016-02071131,教育,教育,2071131.txt
市黄金办召开“两学一做”学习教育第一专题研讨会,工信委,2016-05-31 14:53, 013353737/2016-02068802,会议,文秘工作,2068802.txt
​市信息中心召开“两学一做”学习教育活动第一次专题研讨会,工信委,2016-05-30 20:36, 013353737/2016-02068372,会议,文秘工作,2068372.txt
社区中心举行“坚定理想信念，做政治上的明白人”专题研讨,工信委,2016-05-30 20:35, 013353737/2016-02068369,会议,文秘工作,2068369.txt
市中小企业服务中心党支部开展“两学一做”学习教育第一专题研讨会,中小企业服务中心,2016-05-27 15:29, 013353737/2016-02066567,教育,教育,2066567.txt
走进世界500强德国博世集团博世力士乐（西安）工厂,中小企业服务中心,2016-05-27 15:23, 013353737/2016-02066562,工作动态,文秘工作,2066562.txt
渭北工业区发展服务中心党支部组织“两学一做”学习教育集中学习,工信委,2016-05-27 12:13, 013353737/2016-02066386,教育,教育,2066386.txt
2016第二十届中国国际软件博览会在京举行,工信委,2016-05-27 12:11, 013353737/2016-02066383,博览会,对外经贸合作,2066383.txt
市工信委举办“两学一做”党章专题辅导报告会,工信委,2016-05-25 16:33, 013353737/2016-02064913,工作动态,文秘工作,2064913.txt
市信息中心召开“两学一做”学习教育推进会,信息中心,2016-05-24 13:11, 013353737/2016-02060224,教育,教育,2060224.txt
市黄金办召开“两学一做”学习教育推进会,黄金办,2016-05-23 12:18, 013353737/2016-02059213,教育,教育,2059213.txt
西安发布“十三五”工业发展规划  到2020年将打造两个国家基地,工信委,2016-05-21 22:31, 013353737/2016-02058747,规划,国民经济发展规划、计划,2058747.txt
市中小企业服务中心召开“两学一做”学习教育推进会,中小企业服务中心,2016-05-20 13:07, 013353737/2016-02057789,会议,文秘工作,2057789.txt
市工信委培训党务干部带动“两学一做”学习教育,工信委,2016-05-18 17:55, 013353737/2016-02055297,教育,教育,2055297.txt
我市乐叶光伏高效单晶电池和组件生产基地项目在经开区正式开工,工信委,2016-05-18 15:24, 013353737/2016-02054698,工作动态,文秘工作,2054698.txt
​12385服务热线并入市社区12343服务热线暨开通仪式,社区信息服务管理中心,2016-05-16 17:41, 013353737/2016-02055247,工作动态,文秘工作,2055247.txt
市工信委纪检组认真学习市纪委副书记周建德接受西安日报记者专访文章,工信委,2016-05-16 11:39, 013353737/2016-02071124,纪检,监察,2071124.txt
市社区信息服务管理中心进行“两学一做”学习教育专题党课,社区信息服务管理中心,2016-05-13 17:40, 013353737/2016-02055196,教育,教育,2055196.txt
市工信委纪检组专题安排“两学一做”学习教育,工信委,2016-05-13 11:23, 013353737/2016-02071066,教育,教育,2071066.txt
第二期“营改增”新政深度解析与操作实务讲座如期举办,中小企业服务中心,2016-05-09 17:06, 013353737/2016-02048289,培训,教育,2048289.txt
​市信息中心召开改变工作作风及“两学一做”学习教育动员大会,市信息中心,2016-05-06 15:04, 013353737/2016-02046742,工作动态,文秘工作,2046742.txt
陕西省将举办2016年度科技成果与企业项目需求对接活动,工信委,2016-05-03 11:24, 013353737/2016-02042514,工作动态,文秘工作,2042514.txt
市节能监察监测中心召开“两学一做”学习教育动员大会,节能监察监测中心,2016-04-29 13:31, 013353737/2016-02040799,教育,教育,2040799.txt
“工业企业可持续发展之道”公益讲座顺利举办,中小企业服务中心,2016-04-29 13:28, 013353737/2016-02040796,培训,教育,2040796.txt
2016年度西安市支持区县工业园区发展专项资金项目评审得分结果公布表,工信委,2016-04-29 13:26, 013353737/2016-02040793,资金,财政,2040793.txt
市工信委召开“两学一做”学习教育动员部署会,工信委,2016-04-21 14:00, 013353737/2016-02034010,教育,教育,2034010.txt
市中小企业服务中心举办中小微企业税务辅导讲座,中小企业服务中心,2016-04-21 13:34, 013353737/2016-02033989,培训,教育,2033989.txt
市工信委对新任处级干部进行集体廉政谈话,工信委,2016-04-18 10:57, 013353737/2016-02032856,廉政建设,监察,2032856.txt
我市企业技术中心44人享受“三秦人才津贴”,工信委,2016-04-05 21:17, 013353737/2016-02022631,技术,科技,2022631.txt
市级机关“麦锐思杯”拔河比赛圆满落下帷幕,工信委,2016-04-01 21:05, 013353737/2016-02022628,比赛,体育,2022628.txt
【西安日报】大国重器 西安制造——我市首台（套）重大设备巡礼（十）,工信委,2016-03-30 15:00, 013353737/2016-02018758,技术,科技,2018758.txt
【西安日报】大国重器 西安制造——我市首台（套）重大设备巡礼（九）,工信委,2016-03-29 10:29, 013353737/2016-02017491,技术,科技,2017491.txt
​阎良区赴深圳精准招商,工信委,2016-03-28 11:58, 013353737/2016-02016758,工作动态,文秘工作,2016758.txt
​【西安日报】大国重器 西安制造——我市首台（套）重大设备巡礼（八）,工信委,2016-03-28 10:04, 013353737/2016-02016519,技术,科技,2016519.txt
​【西安日报】大国重器 西安制造——我市首台（套）重大设备巡礼（七）,工信委,2016-03-25 13:13, 013353737/2016-02015769,技术,科技,2015769.txt
